Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
El Salvador,1700 ,1400 , 2200,,2600 ,2100 , 3200,,3600 ,3000 , 4400,,4900 ,4100 , 5700,,6300 ,5400 , 7200,,7900 ,6900 , 8800,,9500 ,8400 , 11 000,,11 000 ,10 000 , 12 000,,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 16 000,,16 000 ,14 000 , 17 000,,17 000 ,16 000 , 19 000,,18 000 ,16 000 , 20 000,,19 000 ,17 000 , 20 000,,19 000 ,18 000 , 21 000,,20 000 ,18 000 , 21 000,,20 000 ,18 000 , 21 000,,20 000 ,19 000 , 21 000,,20 000 ,18 000 , 21 000,,20 000 ,18 000 , 21 000,,20 000 ,18 000 , 21 000,,20 000 ,18 000 , 21 000,,19 000 ,18 000 , 21 000,,19 000 ,18 000 , 21 000,,19 000 ,18 000 , 20 000,,19 000 ,18 000 , 20 000,,19 000 ,17 000 , 21 000,,19 000 ,17 000 , 21 000,,19 000 ,17 000 , 21 000,,19 000 ,17 000 , 21 000,,19 000 ,18 000 , 21 000,,20 000 ,18 000 , 22 000,,20 000 ,18 000 , 22 000,,21 000 ,18 000 , 22 000,,21 000 ,19 000 , 23 000,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Eritrea,16 000 ,9500 , 31 000,,16 000 ,9900 , 30 000,,18 000 ,12 000 , 33 000,,22 000 ,14 000 , 37 000,,23 000 ,16 000 , 38 000,,29 000 ,20 000 , 44 000,,28 000 ,20 000 , 42 000,,29 000 ,21 000 , 42 000,,29 000 ,21 000 , 40 000,,29 000 ,21 000 , 39 000,,28 000 ,21 000 , 37 000,,28 000 ,21 000 , 37 000,,27 000 ,20 000 , 35 000,,27 000 ,21 000 , 35 000,,26 000 ,20 000 , 33 000,,24 000 ,19 000 , 30 000,,22 000 ,17 000 , 27 000,,21 000 ,16 000 , 26 000,,20 000 ,16 000 , 25 000,,19 000 ,15 000 , 23 000,,18 000 ,14 000 , 22 000,,17 000 ,14 000 , 21 000,,17 000 ,13 000 , 20 000,,16 000 ,12 000 , 19 000,,15 000 ,12 000 , 18 000,,14 000 ,12 000 , 17 000,,14 000 ,11 000 , 17 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,10 000 , 15 000,,13 000 ,10 000 , 15 000,,13 000 ,10 000 , 15 000,,12 000 ,10 000 , 15 000,,12 000 ,10 000 , 15 000,
Estonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",1200 ,990 , 1400,"Children estimates were not available at the time of publication.",2100 ,1800 , 2300,"Children estimates were not available at the time of publication.",2800 ,2400 , 3100,"Children estimates were not available at the time of publication.",3400 ,3000 , 3800,"Children estimates were not available at the time of publication.",3900 ,3400 , 4400,"Children estimates were not available at the time of publication.",4300 ,3800 , 4800,"Children estimates were not available at the time of publication.",4700 ,4100 , 5200,"Children estimates were not available at the time of publication.",4900 ,4300 , 5400,"Children estimates were not available at the time of publication.",5200 ,4600 , 5700,"Children estimates were not available at the time of publication.",5400 ,4700 , 5800,"Children estimates were not available at the time of publication.",5500 ,4900 , 6000,"Children estimates were not available at the time of publication.",5600 ,5000 , 6100,"Children estimates were not available at the time of publication.",5700 ,5100 , 6200,"Children estimates were not available at the time of publication.",5800 ,5200 , 6200,"Children estimates were not available at the time of publication.",5900 ,5300 , 6300,"Children estimates were not available at the time of publication.",6000 ,5400 , 6400,"Children estimates were not available at the time of publication.",6100 ,5500 , 6500,"Children estimates were not available at the time of publication.",6200 ,5600 , 6700,"Children estimates were not available at the time of publication.",6200 ,5700 , 6800,"Children estimates were not available at the time of publication.",6300 ,5700 , 6900,"Children estimates were not available at the time of publication.",6300 ,5800 , 6900,"Children estimates were not available at the time of publication.",6500 ,5900 , 7100,"Children estimates were not available at the time of publication.",6500 ,5900 , 7200,"Children estimates were not available at the time of publication.",6500 ,5800 , 7200,"Children estimates were not available at the time of publication."
Eswatini,5300 ,4500 , 6500,,11 000 ,9000 , 13 000,,20 000 ,17 000 , 24 000,,32 000 ,28 000 , 39 000,,45 000 ,38 000 , 52 000,,63 000 ,54 000 , 71 000,,81 000 ,71 000 , 90 000,,99 000 ,87 000 , 110 000,,110 000 ,100 000 , 130 000,,130 000 ,120 000 , 140 000,,140 000 ,130 000 , 150 000,,150 000 ,140 000 , 160 000,,160 000 ,150 000 , 170 000,,170 000 ,160 000 , 180 000,,170 000 ,160 000 , 180 000,,180 000 ,170 000 , 190 000,,180 000 ,170 000 , 190 000,,190 000 ,180 000 , 200 000,,190 000 ,180 000 , 200 000,,190 000 ,180 000 , 210 000,,200 000 ,190 000 , 210 000,,200 000 ,190 000 , 210 000,,210 000 ,200 000 , 220 000,,210 000 ,200 000 , 220 000,,220 000 ,200 000 , 230 000,,220 000 ,210 000 , 230 000,,220 000 ,210 000 , 240 000,,220 000 ,210 000 , 240 000,,230 000 ,210 000 , 240 000,,230 000 ,210 000 , 250 000,,230 000 ,210 000 , 250 000,,230 000 ,210 000 , 250 000,,220 000 ,210 000 , 250 000,,220 000 ,210 000 , 250 000,,220 000 ,210 000 , 240 000,
Ethiopia,470 000 ,390 000 , 570 000,,590 000 ,490 000 , 710 000,,700 000 ,580 000 , 840 000,,790 000 ,660 000 , 950 000,,850 000 ,710 000 , 1 000 000,,900 000 ,750 000 , 1 100 000,,920 000 ,770 000 , 1 100 000,,930 000 ,780 000 , 1 100 000,,930 000 ,780 000 , 1 100 000,,920 000 ,770 000 , 1 100 000,,900 000 ,750 000 , 1 100 000,,870 000 ,730 000 , 1 000 000,,840 000 ,700 000 , 1 000 000,,800 000 ,670 000 , 970 000,,770 000 ,640 000 , 920 000,,730 000 ,610 000 , 880 000,,700 000 ,590 000 , 850 000,,680 000 ,570 000 , 820 000,,670 000 ,560 000 , 810 000,,660 000 ,550 000 , 800 000,,660 000 ,550 000 , 790 000,,660 000 ,550 000 , 790 000,,660 000 ,550 000 , 790 000,,650 000 ,550 000 , 790 000,,650 000 ,540 000 , 780 000,,640 000 ,540 000 , 770 000,,640 000 ,540 000 , 770 000,,640 000 ,530 000 , 770 000,,630 000 ,530 000 , 760 000,,630 000 ,520 000 , 750 000,,620 000 ,520 000 , 750 000,,620 000 ,520 000 , 740 000,,610 000 ,510 000 , 740 000,,610 000 ,510 000 , 730 000,,600 000 ,500 000 , 720 000,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , 550,,<500 ,<500 , 700,,640 ,<500 , 870,,840 ,<500 , 1100,,1100 ,690 , 1400,,1400 ,990 , 1800,,1800 ,1400 , 2200,,2400 ,1900 , 2900,,3000 ,2400 , 3700,,3800 ,3000 , 4900,,4700 ,3700 , 6400,,5900 ,4500 , 8900,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,43 000 ,37 000 , 52 000,,47 000 ,40 000 , 56 000,,50 000 ,43 000 , 59 000,,53 000 ,45 000 , 62 000,,55 000 ,48 000 , 65 000,,58 000 ,50 000 , 67 000,,59 000 ,51 000 , 68 000,,62 000 ,54 000 , 71 000,,67 000 ,58 000 , 75 000,,71 000 ,62 000 , 80 000,,76 000 ,66 000 , 86 000,,81 000 ,71 000 , 93 000,,87 000 ,75 000 , 99 000,,92 000 ,79 000 , 100 000,,97 000 ,84 000 , 110 000,,100 000 ,88 000 , 110 000,,110 000 ,92 000 , 120 000,,110 000 ,96 000 , 120 000,,120 000 ,100 000 , 130 000,,120 000 ,100 000 , 130 000,,120 000 ,110 000 , 140 000,,130 000 ,110 000 , 140 000,,130 000 ,110 000 , 150 000,,140 000 ,120 000 , 150 000,,140 000 ,120 000 , 160 000,,150 000 ,130 000 , 160 000,,150 000 ,130 000 , 170 000,,160 000 ,130 000 , 170 000,,160 000 ,140 000 , 180 000,,160 000 ,140 000 , 180 000,,170 000 ,140 000 , 180 000,,170 000 ,150 000 , 190 000,,180 000 ,150 000 , 200 000,,180 000 ,160 000 , 200 000,,... ,... , ...,
Gabon,6700 ,3500 , 12 000,,8800 ,4800 , 15 000,,11 000 ,6300 , 19 000,,14 000 ,8500 , 24 000,,18 000 ,11 000 , 28 000,,21 000 ,13 000 , 34 000,,25 000 ,16 000 , 37 000,,28 000 ,19 000 , 41 000,,31 000 ,22 000 , 45 000,,33 000 ,24 000 , 48 000,,35 000 ,26 000 , 49 000,,37 000 ,27 000 , 51 000,,39 000 ,29 000 , 51 000,,40 000 ,30 000 , 52 000,,41 000 ,31 000 , 52 000,,42 000 ,32 000 , 53 000,,43 000 ,34 000 , 53 000,,45 000 ,36 000 , 54 000,,46 000 ,37 000 , 54 000,,47 000 ,38 000 , 55 000,,48 000 ,40 000 , 56 000,,49 000 ,42 000 , 58 000,,51 000 ,43 000 , 59 000,,52 000 ,44 000 , 60 000,,53 000 ,45 000 , 61 000,,54 000 ,46 000 , 62 000,,54 000 ,47 000 , 63 000,,54 000 ,47 000 , 63 000,,54 000 ,47 000 , 63 000,,54 000 ,46 000 , 64 000,,54 000 ,46 000 , 64 000,,53 000 ,45 000 , 64 000,,53 000 ,45 000 , 64 000,,53 000 ,44 000 , 64 000,,52 000 ,44 000 , 64 000,
Gambia,1000 ,<500 , 2200,,1500 ,730 , 2900,,2100 ,1100 , 3900,,3000 ,1700 , 5100,,4000 ,2500 , 6500,,5200 ,3300 , 7800,,6600 ,4400 , 9600,,8100 ,5500 , 11 000,,9700 ,6800 , 13 000,,11 000 ,8000 , 15 000,,13 000 ,9300 , 17 000,,14 000 ,11 000 , 19 000,,16 000 ,12 000 , 21 000,,17 000 ,13 000 , 23 000,,18 000 ,14 000 , 24 000,,19 000 ,15 000 , 26 000,,20 000 ,16 000 , 27 000,,21 000 ,17 000 , 28 000,,22 000 ,17 000 , 29 000,,23 000 ,18 000 , 30 000,,23 000 ,19 000 , 30 000,,24 000 ,19 000 , 31 000,,25 000 ,20 000 , 32 000,,25 000 ,21 000 , 33 000,,26 000 ,21 000 , 33 000,,26 000 ,21 000 , 33 000,,26 000 ,21 000 , 33 000,,26 000 ,21 000 , 34 000,,26 000 ,21 000 , 34 000,,26 000 ,21 000 , 33 000,,26 000 ,21 000 , 33 000,,26 000 ,20 000 , 33 000,,26 000 ,20 000 , 32 000,,25 000 ,20 000 , 32 000,,25 000 ,20 000 , 32 000,
